DateTime,Entries,UniqueIPs
1547842923,5690,5965
1547843523,5639,5907
1547844123,5668,5936
1547845323,5631,5895
1547845923,5665,5932
1547846523,5704,5973
1547847123,5651,5919
1547847723,5655,5927
1547848924,5663,5936
1547850123,5688,5964
1547851324,5692,5966
1547852523,5646,5914
1547853723,5613,5879
1547854923,5621,5884
1547856124,5629,5893
1547857323,5630,5891
1547857923,5662,5926
1547858522,5645,5908
1547859723,5657,5919
1547860923,5599,5858
1547862125,5567,5820
1547862724,5606,5863
1547863323,5590,5844
1547863923,5591,5848
1547864524,5576,5833
1547865723,5535,5788
1547866323,5573,5829
1547866923,5537,5790
1547867523,5569,5828
1547868124,5558,5813
1547869324,5553,5805
1547870523,5593,5847
1547871124,5557,5811
1547871723,5566,5819
1547872323,5580,5832
1547872924,5615,5869
1547874124,5565,5818
1547875323,5577,5827
1547875922,5595,5844
1547876523,5597,5846
1547877123,5605,5854
1547877723,5624,5866
1547878323,5662,5909
1547878923,5659,5908
1547880122,5576,5822
1547880722,5574,5819
1547881323,5617,5869
1547881923,5613,5861
1547882524,5597,5848
1547883123,5586,5838
1547883723,5623,5876
1547884323,5607,5866
1547884923,5637,5906
1547886123,5609,5876
1547886723,5604,5868
1547887323,5612,5876
1547887923,5650,5915
1547888523,5642,5913
1547889123,5678,5950
1547889723,5706,5979
1547890323,5712,5990
1547890923,5711,5983
1547892123,5703,5971
1547892723,5699,5965
1547893323,5718,5982
1547893923,5734,5998
1547894523,5695,5955
1547895724,5735,5997
1547896923,5703,5962
1547898122,5656,5916
1547898723,5698,5961
1547899323,5694,5955
1547900523,5671,5929
1547901724,5691,5949
1547902323,5692,5946
1547902924,5694,5950
1547903523,5729,5988
1547904123,5729,5985
1547904723,5759,6017
1547905322,5755,6013
1547905923,5749,6002
1547906523,5796,6051
1547907724,5775,6027
1547908924,5771,6025
1547909523,5763,6020
1547910123,5775,6030
1547911323,5767,6022
1547912523,5687,5936
1547913123,5701,5948
1547913723,5737,5993
1547914323,5758,6011
1547914924,5778,6022
1547915523,5805,6054
1547916122,5834,6088
1547917324,5811,6055
1547918523,5746,5982
1547919123,5778,6016
1547919723,5812,6054
1547920924,5742,5977
1547921524,5788,6024
1547922123,5781,6016
1547923324,5782,6021
1547923923,5780,6021
1547924523,5773,6016
1547925722,5786,6029
1547926923,5759,5995
1547927523,5796,6036
1547928123,5749,5993
1547928723,5784,6029
1547929323,5809,6060
1547929922,5802,6053
1547930523,5762,6014
1547931723,5788,6044
1547932923,5758,6008
1547934123,5681,5921
1547934723,5711,5956
1547935323,5744,5995
1547936523,5707,5967
1547937723,5704,5964
1547938324,5734,5996
1547938923,5729,5992
1547939524,5752,6017
1547940123,5739,6012
1547941323,5783,6058
1547942524,5743,6013
1547943722,5776,6050
1547944323,5760,6038
1547944923,5743,6025
1547946123,5752,6034
1547947322,5768,6051
1547947923,5759,6043
1547948523,5749,6035
1547949125,5767,6056
1547949723,5760,6048
1547950323,5772,6063
1547950922,5759,6045
1547951523,5755,6045
1547952123,5783,6077
1547953323,5717,6000
1547954524,5714,5996
1547955123,5725,6007
1547955722,5765,6049
1547956923,5743,6030
1547958124,5718,5999
1547958723,5709,5993
1547959323,5707,5990
1547960523,5703,5987
1547961723,5659,5937
1547962923,5640,5920
1547964124,5601,5878
1547965323,5500,5776
1547965923,5527,5806
1547966523,5552,5832
1547967723,5486,5758
1547968323,5468,5742
1547968923,5499,5778
1547970123,5461,5740
1547970723,5466,5744
1547971323,5466,5744
1547972523,5427,5705
1547973123,5461,5739
1547973723,5422,5695
1547974323,5440,5717
1547974924,5431,5710
1547975524,5386,5663
1547976123,5369,5647
1547976723,5361,5641
1547977323,5393,5676
1547978523,5396,5676
1547979124,5407,5690
1547979723,5393,5677
1547980923,5326,5613
1547981524,5318,5604
1547982123,5306,5592
1547982724,5344,5631
1547983322,5389,5677
1547983923,5394,5683
1547984522,5402,5690
1547985123,5394,5680
1547985723,5439,5725
1547986923,5390,5668
1547987524,5424,5702
1547988123,5456,5735
1547988723,5427,5704
1547989323,5454,5733
1547990523,5424,5703
1547991123,5376,5654
1547991723,5368,5645
1547992323,5365,5641
1547992922,5404,5683
1547994123,5387,5664
1547994723,5375,5656
1547995323,5364,5642
1547996523,5363,5639
1547997123,5377,5653
1547997723,5416,5694
1547998924,5404,5675
1547999524,5373,5638
1548000124,5403,5669
1548000723,5388,5657
1548001323,5371,5641
1548001922,5342,5606
1548002523,5331,5592
1548003723,5318,5585
1548004923,5350,5624
1548006123,5273,5543
1548007323,5290,5568
1548008525,5233,5516
1548009723,5222,5506
1548010923,5192,5469
1548011524,5197,5472
1548012124,5220,5500
1548012723,5227,5503
1548013323,5269,5551
1548014523,5218,5496
1548015723,5187,5461
1548016323,5185,5458
1548016923,5208,5482
1548017523,5212,5483
1548018123,5210,5482
1548019322,5236,5510
1548019924,5241,5512
1548020523,5241,5513
1548021123,5235,5509
1548021723,5235,5512
1548022924,5262,5542
1548023523,5264,5539
1548024123,5269,5545
1548025325,5281,5555
1548025924,5279,5556
1548026523,5295,5571
1548027123,5312,5585
1548027724,5342,5616
1548028925,5306,5575
1548029523,5341,5616
1548030123,5344,5620
1548030723,5337,5611
1548031323,5369,5645
1548031923,5355,5637
1548032523,5356,5637
1548033124,5393,5678
1548033724,5420,5707
1548034922,5368,5654
1548035522,5376,5662
1548036123,5345,5628
1548036723,5381,5670
1548037323,5385,5675
1548037923,5430,5720
1548038523,5443,5734
1548039123,5450,5738
1548039723,5446,5740
1548040922,5479,5774
1548042123,5446,5733
1548043324,5444,5728
1548044522,5443,5729
1548045123,5416,5697
1548045723,5412,5691
1548046923,5443,5723
1548047523,5451,5729
1548048124,5465,5747
1548049323,5448,5720
1548050523,5469,5745
1548051123,5463,5736
1548051723,5505,5781
1548052323,5511,5783
1548052923,5517,5791
1548053523,5527,5802
1548054124,5562,5840
1548055323,5511,5780
1548055922,5542,5817
1548056522,5556,5831
1548057723,5549,5823
1548058323,5549,5821
1548058923,5587,5861
1548059522,5536,5814
1548060123,5574,5855
1548060723,5553,5834
1548061322,5580,5868
1548061923,5576,5865
1548062523,5566,5854
1548063123,5570,5859
1548063723,5536,5825
1548064924,5550,5840
1548066123,5572,5865
1548067323,5588,5880
1548068523,5550,5842
1548069123,5550,5842
1548069723,5549,5842
1548070322,5534,5833
1548070922,5518,5820
1548071523,5509,5808
1548072123,5470,5769
1548073322,5493,5794
1548074523,5436,5734
1548075123,5462,5761
1548075723,5414,5709
1548076922,5405,5700
1548078123,5410,5701
1548079323,5383,5673
1548080523,5374,5667
1548081724,5363,5649
1548082924,5331,5620
1548083524,5361,5652
1548084123,5323,5621
1548084723,5363,5664
1548085323,5370,5669
1548086523,5344,5634
1548087723,5360,5649
1548088323,5399,5689
1548088924,5372,5658
1548090123,5368,5660
1548090723,5405,5697
1548091322,5404,5696
1548091922,5441,5733
1548092523,5446,5744
1548093723,5477,5776
1548094324,5480,5776
1548094923,5521,5819
1548095523,5519,5814
1548096124,5522,5814
1548097324,5533,5829
1548097923,5546,5842
1548098523,5555,5851
1548099123,5541,5838
1548099723,5549,5842
1548100323,5584,5882
1548100923,5588,5890
1548101523,5623,5928
1548102123,5610,5917
1548103322,5607,5908
1548104522,5623,5924
