DateTime,AddedIPs,RemovedIPs
1547806323,5,0
1547806922,4,50
1547807523,2,0
1547808123,2,0
1547809323,40,30
1547809923,54,25
1547810522,45,13
1547811723,16,9
1547812324,5,19
1547812923,2,8
1547813523,5,4
1547814123,2,0
1547815323,18,19
1547815923,7,0
1547816524,10,1
1547817123,3,0
1547817723,4,3
1547818922,7,32
1547820123,21,31
1547820723,11,7
1547821323,13,58
1547821923,22,0
1547822523,13,73
1547823723,40,0
1547824323,3,43
1547824923,34,4
1547825523,26,42
1547826123,34,55
1547827323,35,8
1547828524,12,15
1547829123,26,28
1547829724,1,5
1547830323,0,10
1547830922,2,30
1547832123,3,54
1547833323,58,0
1547833922,11,2
1547834524,33,16
1547835723,8,2
1547836323,19,13
1547836923,12,13
1547838123,5,0
1547838722,2,15
1547839322,4,0
1547840522,9,8
1547841722,51,31
1547842923,66,32
1547843523,65,11
1547844123,47,0
1547845323,39,34
1547845923,30,0
1547846523,19,0
1547847122,17,6
1547847722,18,8
1547848923,19,34
1547850123,59,1
1547850722,7,9
1547851323,4,0
1547852523,3,6
1547853723,23,53
1547854923,49,1
1547856124,45,51
1547857323,57,22
1547858522,35,36
1547859723,7,0
1547860923,2,94
1547862125,4,11
1547862724,3,0
1547863323,10,13
1547863923,70,55
1547864523,57,32
1547865123,21,0
1547865722,6,14
1547866922,1,10
1547867523,2,0
1547868124,3,12
1547868723,6,0
1547869323,3,7
1547869923,1,0
1547871124,1,18
1547871723,9,42
1547872323,40,0
1547872924,69,0
1547873523,16,68
1547874124,1,71
1547875323,38,33
1547876523,13,114
1547877122,13,0
1547877723,0,52
1547878923,17,0
1547880122,61,94
1547880722,7,0
1547881323,8,0
1547881923,10,49
1547882523,3,23
1547883123,2,0
1547884323,0,47
1547884923,24,0
1547885524,4,24
1547886123,74,0
1547887322,42,46
1547887923,25,0
1547888523,7,41
1547889723,1,26
1547890923,12,23
1547892122,9,23
1547893322,28,22
1547894522,9,35
1547895724,48,0
1547896323,50,23
1547896923,9,62
1547898122,27,54
1547899323,16,11
1547899923,8,9
1547900522,3,1
1547901724,4,35
1547902323,11,3
1547902924,0,15
1547903523,4,4
1547904122,1,8
1547905322,49,0
1547905922,24,32
1547906523,2,0
1547907724,47,30
1547908323,14,23
1547908923,56,11
1547909523,45,13
1547910123,2,0
1547911322,19,32
1547911922,0,24
1547912523,41,97
1547913723,76,0
1547914323,8,30
1547914923,24,9
1547915523,28,22
1547916122,8,0
1547917324,43,13
1547918523,19,32
1547919722,21,0
1547920322,26,9
1547920923,1,54
1547921524,5,0
1547922123,15,4
1547922723,7,0
1547923323,11,5
1547924523,17,34
1547925722,2,7
1547926923,1,46
1547928123,40,49
1547929322,32,0
1547930523,12,160
1547931723,3,0
1547932922,7,69
1547933524,5,20
1547934123,6,35
1547935322,68,0
1547935923,19,32
1547936523,6,6
1547937123,5,0
1547937722,28,51
1547938324,3,5
1547938923,73,37
1547939523,25,0
1547940123,8,24
1547940724,6,0
1547941323,26,0
1547942524,43,89
1547943722,44,0
1547944922,13,55
1547946123,4,17
1547947322,0,12
1547948523,12,15
1547949723,59,7
1547950323,7,23
1547950922,0,73
1547951523,6,34
1547952123,4,28
1547953323,45,27
1547953922,9,0
1547954524,7,3
1547955123,1,5
1547955722,2,0
1547956923,2,22
1547958124,44,13
1547959323,62,53
1547959923,9,36
1547960522,39,0
1547961723,22,78
1547962923,15,0
1547964123,8,30
1547964724,16,9
1547965323,34,0
1547965922,3,24
1547966522,5,0
1547967122,0,21
1547967723,5,12
1547968922,16,1
1547969523,27,3
1547970122,30,9
1547971322,51,31
1547971924,21,26
1547972523,2,93
1547973723,45,23
1547974923,17,18
1547976123,7,39
1547976723,4,0
1547978523,14,12
1547979723,37,4
1547980923,8,23
1547981524,6,36
1547982123,5,51
1547982723,6,36
1547983322,1,0
1547984522,4,82
1547985723,6,0
1547986923,2,23
1547988123,7,0
1547988723,1,12
1547990522,2,13
1547991123,64,30
1547991723,29,19
1547992323,19,1
1547992922,7,0
1547994123,52,33
1547994722,16,33
1547995323,3,61
1547996523,42,3
1547997123,42,59
1547998323,14,37
1547998923,36,0
1548000124,92,36
1548000723,31,13
1548001323,24,1
1548001922,0,29
1548002523,0,22
1548003723,23,0
1548004923,40,8
1548006122,72,45
1548007323,52,30
1548007923,17,2
1548008524,7,2
1548009123,1,5
1548009723,1,0
1548010323,17,34
1548010923,4,0
1548012123,20,9
1548012723,5,0
1548013323,1,0
1548014523,62,13
1548015123,74,12
1548015723,46,36
1548016922,48,0
1548017523,16,10
1548018123,16,8
1548019322,9,0
1548019923,20,9
1548020523,20,19
1548021123,26,0
1548021723,41,19
1548022923,21,10
1548024123,11,72
1548025324,3,13
1548025924,41,69
1548026523,4,14
1548027122,46,24
1548027723,19,0
1548028322,19,34
1548028924,39,29
1548029523,54,0
1548030122,24,15
1548030723,1,0
1548031322,1,0
1548032522,0,34
1548033124,4,0
1548033724,7,0
1548034323,11,21
1548034922,2,0
1548036123,18,42
1548037322,45,7
1548038523,26,25
1548039723,4,32
1548040922,2,9
1548042122,14,13
1548043324,6,27
1548044522,55,0
1548045123,25,60
1548045723,12,58
1548046923,42,27
1548048124,46,46
1548049323,51,36
1548049922,3,0
1548050523,38,0
1548051722,31,15
1548052923,44,19
1548054124,27,17
1548055323,13,30
1548055922,2,9
1548056522,0,41
1548057723,4,0
1548058323,26,35
1548058923,53,2
1548060122,31,31
1548061322,33,23
1548061923,3,9
1548062523,6,0
1548063122,6,6
1548063722,0,14
1548064924,24,17
1548066123,5,0
1548067323,46,38
1548068523,54,12
1548069123,6,0
1548069723,33,7
1548070922,58,8
1548072123,40,29
1548073322,13,0
1548073922,4,12
1548074523,35,0
1548075123,9,0
1548075722,4,13
1548076922,12,19
1548077522,5,0
1548078123,26,30
1548079323,19,43
1548079922,5,25
1548080523,7,0
1548081724,38,5
1548082923,50,105
1548084123,34,14
1548084723,12,44
1548085323,7,47
1548085922,30,0
1548086523,36,0
1548087122,55,13
1548087723,25,56
1548088923,8,17
1548090123,25,36
1548091322,7,36
1548092523,41,62
1548093722,43,0
1548094923,28,55
1548096123,10,16
1548097323,2,32
1548098522,7,4
1548099123,0,15
1548099722,1,34
1548100323,33,0
1548100923,9,32
1548101523,3,65
1548102123,42,38
1548103322,25,30
1548104522,20,13
1548105722,65,25
1548106323,15,12
1548106922,13,0
1548108123,32,52
1548108722,39,38
1548109324,58,38
1548110523,55,0
1548111123,8,6
1548111723,6,22
1548112923,12,1
1548114123,45,56
1548115324,53,52
1548116522,41,39
1548117722,36,16
1548118922,20,2
1548120122,2,2
1548121323,5,36
1548121922,8,0
1548122524,24,0
1548123123,9,26
1548123723,2,34
1548124923,34,0
1548125523,61,14
1548126123,29,0
1548127322,38,19
1548127922,35,0
1548128523,9,2
1548129722,37,27
1548130922,4,0
1548131523,11,28
1548132122,19,17
1548133323,56,68
1548134523,12,59
1548135723,6,0
1548136922,49,39
1548137522,35,31
1548138122,19,46
1548139323,21,0
1548139922,7,17
1548140523,18,18
1548141723,6,0
1548142923,8,17
1548143523,9,7
1548144124,0,7
1548144725,0,22
1548145322,0,19
1548146523,16,53
1548147723,63,30
1548148924,22,36
1548150122,11,0
1548151323,5,27
1548151923,1,21
1548152522,4,25
1548153122,2,0
1548153723,1,51
1548154924,24,0
1548156123,68,98
1548157322,39,67
1548158522,3,0
1548159723,5,42
1548160922,2,22
1548161522,5,12
1548162123,8,42
1548162723,5,0
1548163322,2,6
1548164522,66,39
1548165724,30,12
1548166922,21,40
1548168123,42,51
1548169322,35,0
1548170522,62,60
1548171723,63,18
1548172922,30,48
1548174123,12,80
1548175323,13,29
1548175923,8,32
1548176523,10,15
1548177723,57,0
1548178922,67,43
1548180122,27,47
1548181323,8,30
1548182522,12,9
1548183122,0,11
1548183723,7,0
1548184324,6,4
1548184924,1,6
1548185523,7,1
1548186123,3,27
1548187322,56,2
1548188523,37,34
1548189723,51,62
1548190922,32,24
1548192122,22,0
1548193322,4,71
1548194522,24,55
1548195722,2,47
1548196922,2,74
1548198122,16,44
1548198723,30,0
1548199323,25,30
1548199923,20,0
1548200523,23,0
1548201122,30,48
1548201724,17,40
1548202323,5,0
1548202923,3,46
1548204122,3,0
1548205323,4,32
1548206522,9,0
1548207722,42,11
1548208922,70,33
1548209523,35,0
1548210123,34,29
1548211322,47,0
1548212522,27,114
1548213723,39,17
1548214923,20,26
1548216123,25,60
1548216723,70,0
1548217322,45,0
1548218522,10,33
1548219124,15,41
1548219722,4,0
1548220923,29,39
1548221523,35,0
1548222122,24,39
1548222722,12,0
1548223324,11,38
1548224523,61,19
1548225723,20,38
1548226323,8,11
1548226923,7,0
1548227524,2,11
1548228123,3,9
1548228722,5,0
1548229322,2,6
1548230523,3,0
1548231126,67,0
1548231723,23,13
1548232922,40,43
1548234122,7,29
1548234722,3,0
1548235923,0,24
1548236523,1,8
1548237723,14,1
1548238923,7,2
1548240123,1,34
1548241324,46,0
