DateTime,Entries,UniqueIPs
1547715626,12885,13033
1547716425,12885,13033
1547717055,12889,13037
1547717774,12891,13039
1547718493,12889,13037
1547719212,12889,13037
1547719939,12891,13039
1547720651,12893,13041
1547721367,12896,13044
1547722092,12893,13041
1547722826,12892,13040
1547723558,12890,13038
1547724269,12888,13036
1547724995,12891,13039
1547725960,12890,13038
1547726652,12893,13041
1547727636,12890,13038
1547728329,12893,13041
1547729054,12890,13038
1547729770,12898,13046
1547730515,12901,13049
1547731238,12903,13051
1547731960,12905,13053
1547732674,12908,13056
1547733672,12909,13057
1547734602,12910,13058
1547735563,12913,13061
1547736270,12917,13065
1547736993,12914,13062
1547737712,12916,13064
1547738431,12920,13068
1547739161,12921,13069
1547739868,12924,13072
1547740591,12920,13068
1547741364,12918,13066
1547742280,12919,13067
1547743215,12918,13066
1547743929,12915,13063
1547744659,12912,13060
1547745625,12913,13061
1547746339,12918,13066
1547747297,12913,13061
1547748007,12915,13063
1547748773,12916,13064
1547749472,12917,13065
1547750190,12919,13067
1547750912,12918,13066
1547751638,12916,13064
1547752335,12919,13067
1547753053,12921,13069
1547753770,12924,13072
1547754762,12922,13070
1547755454,12927,13075
1547756418,12927,13075
1547757141,12924,13072
1547757852,12925,13073
1547758569,12929,13077
1547759295,12927,13075
1547760013,12926,13074
1547760736,12919,13067
1547761451,12917,13065
1547762424,12919,13067
1547763138,12913,13059
1547763849,12916,13062
1547764573,12914,13060
1547765562,12906,13052
1547766281,12912,13058
1547766973,12910,13056
1547767690,12909,13055
1547768409,12906,13052
1547769131,12904,13048
1547769851,12897,13041
1547770579,12896,13040
1547771314,12895,13038
1547772035,12900,13043
1547772750,12902,13045
1547773724,12897,13040
1547774686,12896,13037
1547775440,12894,13035
1547776099,12895,13036
1547777062,12889,13030
1547777768,12890,13031
1547778740,12881,13022
1547779451,12890,13031
1547780166,12888,13029
1547781160,12888,13029
1547781874,12884,13025
1547782593,12890,13031
1547783313,12890,13031
1547784034,12885,13026
1547784760,12888,13029
1547785471,12888,13029
1547786435,12891,13032
1547787165,12876,13017
1547787886,12877,13018
1547788846,12883,13024
1547789533,12886,13027
1547790250,12886,13027
1547790970,12887,13028
1547791943,12885,13026
1547792649,12886,13027
1547793637,12888,13029
1547794359,12888,13029
1547795076,12887,13028
1547795796,12888,13029
1547796511,12885,13026
1547797230,12887,13027
1547797975,12882,13022
1547798678,12881,13021
1547799646,12884,13024
1547800334,12881,13021
1547801562,12881,13021
1547802253,12884,13024
1547803219,12884,13024
1547804201,12875,13015
1547804893,12874,13014
1547805630,12869,13009
1547806582,12871,13011
1547807545,12870,13010
1547808249,12875,13015
1547808972,12873,13013
1547810209,12874,13014
1547810888,12871,13010
1547811612,12866,13004
1547812577,12871,13009
1547813547,12871,13008
1547814249,12869,13006
1547814972,12867,13004
1547815960,12867,13003
1547816662,12867,13003
1547817378,12866,13002
1547818338,12860,12996
1547819070,12859,12995
1547820036,12863,12999
1547820983,12863,12999
1547821964,12865,13001
1547822649,12869,13005
1547823371,12868,13004
1547824350,12868,13004
1547825053,12872,13008
1547826034,12870,13006
1547826748,12875,13011
1547827482,12871,13007
1547828195,12874,13009
1547829161,12876,13011
1547830120,12870,13004
1547831079,12868,13002
1547832041,12874,13008
1547832752,12877,13011
1547833478,12876,13009
1547834437,12873,13006
1547835160,12875,13008
1547835874,12873,13006
1547836625,12874,13007
1547837314,12876,13009
1547838101,12870,13003
1547838760,12869,13002
1547839496,12869,13002
1547840193,12873,13006
1547840912,12869,13002
1547841642,12864,12997
1547842357,12858,12990
1547843082,12861,12993
1547843792,12863,12995
1547844513,12859,12991
1547845236,12858,12990
1547845962,12852,12983
1547846674,12849,12980
1547847391,12843,12974
1547848113,12834,12965
1547848841,12830,12961
1547849532,12832,12963
1547850249,12824,12954
1547850978,12827,12957
1547851935,12821,12951
1547852672,12822,12952
1547853640,12821,12951
1547854356,12815,12945
1547855100,12812,12942
1547855790,12815,12945
1547856517,12812,12942
1547857236,12806,12936
1547857956,12802,12931
1547858674,12801,12930
1547859391,12800,12929
1547860114,12800,12929
1547860837,12808,12937
1547861561,12803,12932
1547862249,12809,12938
1547862971,12796,12925
1547863715,12794,12923
1547864679,12793,12922
1547865635,12796,12925
1547866351,12794,12922
1547867081,12786,12914
1547868048,12782,12910
1547868737,12782,12910
1547869454,12786,12914
1547870167,12783,12911
1547871155,12788,12916
1547872092,12790,12918
1547873057,12780,12908
1547874022,12785,12913
1547874739,12793,12921
1547875450,12790,12918
1547876436,12791,12919
1547877147,12792,12920
1547877886,12790,12918
1547878826,12791,12919
1547879538,12789,12917
1547880252,12788,12916
1547881269,12786,12914
1547881951,12786,12914
1547882703,12785,12913
1547883636,12784,12912
1547884354,12785,12913
1547885072,12786,12914
1547885799,12793,12921
