DateTime,Entries,UniqueIPs
1547901334,101295,9391175
1547902054,101292,9391172
1547902338,101300,9391180
1547903255,101307,9391187
1547903975,101304,9391184
1547904251,101308,9391188
1547904694,101311,9391191
1547905441,101321,9391202
1547906193,101322,9391203
1547907093,101293,9391174
1547907821,101287,9391168
1547908342,101283,9391164
1547908535,101279,9391160
1547909494,101312,9391193
1547910279,101310,9391191
1547910695,101311,9391192
1547911414,101308,9391189
1547911927,101310,9391191
1547912199,101326,9391207
1547912614,101317,9391198
1547914646,101330,9391211
1547916215,101311,9391192
1547916752,101311,9391192
1547916935,101313,9391194
1547917654,101314,9391195
1547918375,101314,9391195
1547918652,101324,9391205
1547919096,101319,9391200
1547919815,101319,9391200
1547920836,101313,9391196
1547921255,101314,9391197
1547921792,101315,9391198
1547922215,101318,9391201
1547922736,101313,9391196
1547922934,101317,9391200
1547923654,101309,9391192
1547924374,101308,9391191
1547925093,101302,9391185
1547926295,101307,9391189
1547926572,101281,9391163
1547927017,101274,9391156
1547928759,101280,9391162
1547929415,101273,9391155
1547930134,101275,9391158
1547930652,101284,9391167
1547931095,101276,9391159
1547931815,101273,9391156
1547932595,101278,9391160
1547933214,101277,9391159
1547933993,101279,9391161
1547934758,101278,9391160
1547935414,101249,9391131
1547936375,101257,9391139
1547936650,101265,9391148
1547937576,101260,9391143
1547938850,101239,9387189
1547939254,101235,9387185
1547940218,101228,9387178
1547940737,101224,9387174
1547941208,101223,9387173
1547941415,101228,9387178
1547942136,101227,9387177
1547942685,101221,9387171
1547943095,101228,9387178
1547943816,101230,9387180
1547944533,101237,9387187
1547945255,101247,9387198
1547945918,101247,9387199
1547946497,101236,9387187
1547946525,101237,9387188
1547947106,81562,9360923
1547948443,101242,9387194
1547949056,101243,9387195
1547949841,100946,9385724
1547950337,100946,9385724
1547950826,81550,9360912
1547951023,101236,9387188
1547951737,101260,9387212
1547952255,101276,9387228
1547952733,93165,9378540
1547953894,101275,9387227
1547954172,101276,9387230
1547954615,101331,9387287
1547955217,101334,9387289
1547955852,81544,9360865
1547956090,81547,9360868
1547956541,101331,9387286
1547957256,101305,9387260
1547958032,101306,9387261
1547958701,101307,9387262
1547959437,101314,9387269
1547959938,101306,9387261
1547960856,101289,9387244
1547961852,101297,9387252
1547962317,101301,9387255
1547963014,101295,9387251
1547963789,101291,9387246
1547964695,101287,9387242
1547965469,101291,9387247
1547965690,101293,9387249
1547966138,101291,9387247
1547966689,101288,9387244
1547967336,101289,9387246
1547967625,101283,9387238
1547968777,101292,9387248
1547969494,101285,9387240
1547970213,101281,9387236
1547970495,101276,9387229
1547971865,101270,9387224
1547972423,101282,9387236
1547972613,101289,9387243
1547973334,101293,9387247
1547974054,101295,9387249
1547974328,101289,9387242
1547975253,101288,9387241
1547976280,101275,9387227
1547976934,101269,9387221
1547977656,101267,9387219
1547978168,101278,9387230
1547978374,101276,9387228
1547979095,101277,9387229
1547979815,101279,9387231
1547980093,101268,9387221
1547980546,101272,9387226
1547981254,101279,9387233
1547982101,101275,9387230
1547982455,101264,9387219
1547983414,101261,9387216
1547983948,101265,9387220
1547984377,101256,9387211
1547985153,101274,9387230
1547985873,101284,9387241
1547986534,101289,9387245
1547987769,101287,9387242
1547987973,101283,9387237
1547988658,101283,9387237
1547989415,101283,9387237
1547989689,101290,9387244
1547990134,101294,9387248
1547991639,101301,9387257
1547993014,101291,9387247
1547993535,101291,9387249
1547993699,101289,9387247
1547994695,101291,9387249
1547995721,101291,9387249
1547996134,101275,9387233
1547997573,101281,9387239
1547998295,101278,9387236
1547999013,101277,9387235
1547999562,101260,9387218
1547999788,101268,9387226
1548000455,101265,9387223
1548001414,103357,9389321
1548002615,103368,9389332
1548003375,86735,9368356
1548004054,103369,9389333
1548004774,103367,9389331
1548005560,103371,9389335
1548006008,85068,9366557
1548006697,103366,9389330
1548007475,103365,9389328
1548008375,103374,9389337
1548009367,103379,9389342
1548009575,103379,9389342
1548010294,103384,9389346
1548011560,103395,9389356
1548012215,103393,9389354
1548013447,103400,9389361
1548013654,103397,9389358
1548014441,103401,9389362
1548015639,103383,9389344
1548016295,103383,9389345
1548017015,103398,9389358
1548017534,103386,9389345
1548017736,103387,9389346
1548019176,103380,9389339
1548019447,103377,9389336
1548020373,103395,9389354
1548021094,103394,9389353
1548021370,103392,9389351
1548022294,103384,9389343
1548023014,103379,9389338
1548023543,103377,9389336
1548023735,103376,9389335
1548023737,103393,9393028
1548025453,103384,9393019
1548025863,103394,9393029
1548026615,103400,9393035
1548027390,103387,9393021
1548028258,103379,9393013
1548029341,103382,9393016
1548030215,103377,9393011
1548031232,103373,9393008
1548031895,103369,9393002
1548032617,103370,9393003
1548033426,103353,9392986
1548034054,103355,9392988
1548034775,103360,9392993
1548035495,103359,9392992
1548036216,103366,9392999
1548036966,95899,9384998
1548037555,103371,9393004
1548038137,103352,9392985
1548038854,103349,9392982
1548039131,103325,9392958
1548040293,103331,9392964
1548041088,103278,9392910
1548041753,103273,9392905
1548042460,103278,9392910
1548043654,103282,9392914
1548043926,103284,9392916
1548044905,103265,9392897
1548045580,103273,9392905
1548046233,86630,9371925
1548046824,86615,9371911
1548047040,103257,9392890
1548047749,103255,9392888
1548048454,103256,9392889
1548048732,103252,9392885
1548049176,103246,9392878
1548049895,103251,9392882
1548050674,103246,9392877
1548051336,103242,9392872
1548052054,103242,9392872
1548052568,103242,9392873
1548052829,103248,9392880
1548053495,103241,9392872
1548054215,103226,9392856
1548054740,103222,9392852
1548055175,103229,9392859
1548056135,103229,9392859
1548056655,103227,9392857
1548057109,103226,9392856
1548057819,103231,9392861
1548058597,103227,9392857
1548059256,103215,9392845
1548059975,103216,9392846
1548060755,103193,9392823
1548061414,103195,9392825
1548062374,103199,9392829
1548062647,103200,9392831
1548063094,103196,9392827
1548063815,103201,9392832
1548064585,103202,9392833
1548065496,103207,9392838
1548066214,103206,9392837
1548066737,103206,9392837
1548066934,103202,9392832
1548067690,81359,9363887
1548068656,81351,9363879
1548069095,103195,9392825
1548069815,103198,9392828
1548070587,103189,9392819
1548071255,103166,9392795
1548071975,103175,9392804
1548072491,103164,9392794
1548072694,103159,9392789
1548073217,103156,9392786
1548073415,103157,9392787
1548074436,103150,9392779
1548075336,103148,9392777
1548076358,103155,9392785
1548077015,103154,9392784
1548077737,103156,9392786
1548078248,103149,9392779
1548078455,103150,9392780
1548079176,103150,9392780
1548079893,103156,9392786
1548080614,103158,9392788
1548081335,103155,9392785
1548082356,103196,9392829
1548083494,103195,9392828
1548084290,103194,9392827
1548084935,103197,9392830
1548085894,103195,9392828
1548086438,103185,9392820
1548086617,103194,9392829
1548087575,103197,9392833
1548088093,103197,9392833
1548088295,103189,9392825
1548091175,103189,9392825
1548091896,103189,9392825
1548092180,103158,9392794
1548093094,103158,9392794
1548093814,103147,9392782
1548094339,103138,9392773
1548094775,103130,9392765
1548095494,103138,9392773
1548096292,103129,9392765
1548096737,103130,9392766
1548096936,103126,9392762
1548097656,103111,9392747
1548098180,103096,9392732
1548098615,103097,9392733
1548099334,103093,9392729
1548100099,86460,9371763
1548101734,103082,9392718
1548102009,103067,9392703
1548102728,103069,9392705
1548103176,103077,9392712
1548103969,103066,9392701
1548104616,103064,9392699
1548105336,103061,9392696
1548105870,103051,9392686
1548107013,103035,9392670
1548107735,103030,9392665
1548108454,103025,9392660
1548109176,103028,9392663
1548109685,103024,9392659
1548109895,103022,9392657
1548110614,103015,9392906
1548111352,103011,9392902
1548111865,103010,9392901
1548112776,102999,9392890
1548113495,102993,9392884
1548113768,102990,9392880
1548114214,102993,9392883
1548115961,103091,9392980
1548116614,103081,9392970
1548117634,103079,9392968
1548117856,103080,9392969
1548118295,103075,9392964
1548119454,103113,9393003
1548119767,103116,9393006
1548120215,103120,9393010
1548120935,103119,9393009
1548121714,103117,9393006
1548122678,103100,9392989
1548123061,103093,9392982
1548123877,103073,9392962
1548124535,103075,9392964
1548125054,103075,9392964
1548125535,80805,9363587
1548125766,80793,9363575
1548126214,103060,9392949
1548126935,103054,9392943
1548127714,103047,9392936
1548128616,103046,9392935
1548129343,103044,9392933
1548130056,103037,9392926
1548130774,103042,9392931
1548131559,103025,9392914
1548132276,103011,9392900
1548133483,103011,9392899
1548133856,103007,9392895
1548135094,103006,9392894
1548135369,103002,9392890
1548135815,103006,9392894
1548136534,103006,9392894
1548137315,103015,9392904
1548138214,103016,9392905
1548138953,86299,9371852
1548139656,103015,9392904
1548140677,103016,9392905
1548141158,103007,9392896
1548141814,103001,9392890
1548142536,103011,9392900
1548143049,103017,9392906
1548143256,103018,9392906
1548144456,103008,9392896
1548145242,103001,9392889
1548145653,103002,9392890
1548146374,103004,9392892
1548146891,103006,9392894
1548147148,103002,9392890
1548147814,103000,9392888
1548148534,102994,9392882
1548149073,102997,9392885
1548149494,103063,9392954
1548150213,103066,9392957
1548150988,103044,9392933
1548151656,103052,9392941
1548152374,103046,9392935
1548152885,103049,9392938
1548153336,103058,9392947
1548154055,103058,9392947
1548154851,103059,9392949
1548155255,103053,9392943
1548155973,103052,9392942
1548156760,103054,9392944
1548157415,103055,9392945
1548158136,103049,9392939
1548158656,103046,9392936
1548159062,103042,9392932
1548159815,103047,9392937
1548160591,103050,9392941
1548161255,103056,9392947
1548161530,103060,9392952
1548162523,103047,9392939
1548163415,103024,9392916
1548164134,103025,9392917
1548164410,103025,9392917
1548164864,103022,9392915
1548165575,103013,9392906
1548166360,103009,9392901
1548167014,103026,9392918
1548167735,103015,9392907
1548168254,103009,9392901
1548168694,102937,9392826
