DateTime,Entries,UniqueIPs
1547806323,2738,2771
1547806922,2692,2725
1547807523,2694,2727
1547808123,2696,2729
1547809323,2707,2739
1547809923,2736,2768
1547810522,2768,2800
1547811723,2775,2807
1547812324,2762,2793
1547812923,2757,2787
1547813523,2757,2788
1547814123,2759,2790
1547815323,2758,2789
1547815923,2765,2796
1547816524,2774,2805
1547817123,2777,2808
1547817723,2778,2809
1547818922,2753,2784
1547820123,2743,2774
1547820723,2747,2778
1547821323,2702,2733
1547821923,2724,2755
1547822523,2665,2695
1547823723,2705,2735
1547824323,2667,2695
1547824923,2697,2725
1547825523,2681,2709
1547826123,2661,2688
1547827323,2688,2715
1547828524,2685,2712
1547829123,2684,2710
1547829724,2680,2706
1547830323,2671,2696
1547830922,2643,2668
1547832123,2592,2617
1547833323,2650,2675
1547833922,2659,2684
1547834524,2675,2701
1547835723,2681,2707
1547836323,2687,2713
1547836923,2685,2712
1547838123,2690,2717
1547838722,2677,2704
1547839322,2681,2708
1547840522,2683,2709
1547841722,2706,2729
1547842923,2739,2763
1547843523,2792,2817
1547844123,2837,2864
1547845323,2840,2869
1547845923,2870,2899
1547846523,2889,2918
1547847122,2900,2929
1547847722,2910,2939
1547848923,2897,2924
1547850123,2955,2982
1547850722,2953,2980
1547851323,2957,2984
1547852523,2955,2981
1547853723,2925,2951
1547854923,2971,2999
1547856124,2964,2993
1547857323,2997,3028
1547858522,2999,3027
1547859723,3006,3034
1547860923,2916,2942
1547862125,2909,2935
1547862724,2912,2938
1547863323,2909,2935
1547863923,2922,2950
1547864523,2947,2975
1547865123,2968,2996
1547865722,2960,2988
1547866922,2951,2979
1547867523,2953,2981
1547868124,2944,2972
1547868723,2950,2978
1547869323,2946,2974
1547869923,2947,2975
1547871124,2932,2958
1547871723,2899,2925
1547872323,2937,2965
1547872924,3001,3034
1547873523,2949,2982
1547874124,2879,2912
1547875323,2884,2917
1547876523,2788,2816
1547877122,2801,2829
1547877723,2750,2777
1547878923,2766,2794
1547880122,2733,2761
1547880722,2740,2768
1547881323,2748,2776
1547881923,2710,2737
1547882523,2690,2717
1547883123,2692,2719
1547884323,2645,2672
1547884923,2669,2696
1547885524,2650,2676
1547886123,2724,2750
1547887322,2721,2746
1547887923,2745,2771
1547888523,2712,2737
1547889723,2687,2712
1547890923,2676,2701
1547892122,2663,2687
1547893322,2669,2693
1547894522,2645,2667
1547895724,2693,2715
1547896323,2718,2742
1547896923,2664,2689
1547898122,2639,2662
1547899323,2644,2667
1547899923,2644,2666
1547900522,2646,2668
1547901724,2618,2637
1547902323,2626,2645
1547902924,2611,2630
1547903523,2611,2630
1547904122,2604,2623
1547905322,2653,2672
1547905922,2645,2664
